original_plate,MARCA,MODELO,SUBMODELO,VERSAO,ano,anoModelo,chassi,codigoRetorno,codigoSituacao,cor,data,dataAtualizacaoAlarme,dataAtualizacaoCaracteristicasVeiculo,dataAtualizacaoRouboFurto,placa,placa_modelo_antigo,placa_modelo_novo,placa_nova,ano_fabricacao,ano_modelo,caixa_cambio,cap_maxima_tracao,capacidade_carga,chassi,cilindradas,combustivel,cor_veiculo,data_atualizacao,eixos,faturado,tipo_doc_faturado,uf_faturado,tipo_doc_prop,uf_placa,uf,linha,motor,municipio,carroceria,nacionalidade,peso_bruto_total,potencia,quantidade_passageiro,renavam,marca_modelo,restricao1,restricao2,restricao3,restricao4,situacao_chassi,situacao_veiculo,tipo_montagem,ultima_atualizacao,cilindradas,situacao_veiculo,listamodelo,server,version,info,logo,status_code,fipe,multas
,GM,CHEV/SPIN 1.8L AT LT ADV,CHEV/SPIN,ADV,2017,2018,*****0JB127386,0,0,Azul,01/08/2024 10:56:50,01/08/2024 10:56:50,01/08/2024 10:56:50,01/08/2024 10:56:50,LTC8030,LTC8030,LTC8A30,f,2017,2018,R7103B9851,170,0,9BGJR7520JB127386,1800,Alcool / Gasolina,Azul,2017-08-25 00:00:00,0,59275792000150,Juridica,SP,Juridica,RJ,RJ,80896527,GFM024013,RIO DE JANEIRO,,Nacional,170,LTC8030,LTC8030,LTC8A30,f,111,5,,"{'modelo': 'CHEV/SPIN 1.8L AT LT ADV', 'marca': 'GM', 'segmento': 'Auto', 'versao': 'ADV'}",SEM RESTRICAO,SEM RESTRICAO,SEM RESTRICAO,SEM RESTRICAO,,,,,1800,,,apiveiculos.com.br,v3.0,API Atualizada em 08/12/2023 14:08:00,https://apiveiculos.com.br/static/logos/gm.png,200,{'dados': []},{'dados': []}
,VW,VW/VIRTUS MF,VW/VIRTUS,MF,2018,2018,*****3JP071063,0,0,Branca,01/08/2024 10:56:51,01/08/2024 10:56:51,01/08/2024 10:56:51,01/08/2024 10:56:51,QOC9042,QOC9042,QOC9A42,f,2018,2018,,195,0,9BWDL5BZ3JP071063,1598,Alcool / Gasolina,Branca,2018-04-12 00:00:00,2,59104422005704,Juridica,MG,Juridica,MG,MG,89929195,CNX129020,BELO HORIZONTE,,Nacional,155,QOC9042,QOC9042,QOC9A42,f,117,5,,"{'modelo': 'VW/VIRTUS MF', 'marca': 'VW', 'segmento': 'Auto', 'versao': 'MF'}",SEM RESTRICAO,SEM RESTRICAO,SEM RESTRICAO,SEM RESTRICAO,,,,,1598,,,apiveiculos.com.br,v3.0,API Atualizada em 08/12/2023 14:08:00,https://apiveiculos.com.br/static/logos/vw.png,200,{'dados': []},{'dados': []}
,GM,CHEVROLET/COBALT GRAPH M,CHEVROLET/COBALT,M,2015,2015,*****0FB237465,0,0,Prata,01/08/2024 10:56:52,01/08/2024 10:56:52,01/08/2024 10:56:52,01/08/2024 10:56:52,KRI6249,KRI6249,KRI6C49,f,2015,2015,V15784407,260,0,9BGJG69E0FB237465,1800,Alcool / Gasolina,Prata,2018-02-01 00:00:00,0,59275792000150,Juridica,SP,Juridica,RJ,RJ,87096347,DS1011676,RIO DE JANEIRO,,Nacional,160,KRI6249,KRI6249,KRI6C49,f,108,5,,"{'modelo': 'CHEVROLET/COBALT GRAPH M', 'marca': 'GM', 'segmento': 'Auto', 'versao': 'M'}",SEM RESTRICAO,SEM RESTRICAO,SEM RESTRICAO,SEM RESTRICAO,,,,,1800,,,apiveiculos.com.br,v3.0,API Atualizada em 08/12/2023 14:08:00,https://apiveiculos.com.br/static/logos/gm.png,200,{'dados': []},{'dados': []}
,TOYOTA,TOYOTA/ETIOS SD X 15L AT,TOYOTA/ETIOS,AT,2017,2018,*****7J2170790,0,0,Prata,01/08/2024 10:56:52,01/08/2024 10:56:52,01/08/2024 10:56:52,01/08/2024 10:56:52,FDX4025,FDX4025,FDX4A25,f,2017,2018,7DS301959,143,0,9BRB29BT7J2170790,1496,Alcool / Gasolina,Prata,2017-07-21 00:00:00,2,59104760000604,Juridica,SP,Juridica,SP,SP,79534531,4126688,OSASCO,,Nacional,143,FDX4025,FDX4025,FDX4A25,f,107,5,,"{'modelo': 'TOYOTA/ETIOS SD X 15L AT', 'marca': 'TOYOTA', 'segmento': 'Auto', 'versao': 'AT'}",SEM RESTRICAO,SEM RESTRICAO,SEM RESTRICAO,SEM RESTRICAO,,,,,1496,,,apiveiculos.com.br,v3.0,API Atualizada em 08/12/2023 14:08:00,https://apiveiculos.com.br/static/logos/toyota.png,200,{'dados': []},{'dados': []}
,FIAT,FIAT/SIENA ATTRACTIV 1.4,FIAT/SIENA,1.4,2017,2018,*****HJ3341609,0,0,Branca,01/08/2024 10:56:53,01/08/2024 10:56:53,01/08/2024 10:56:53,01/08/2024 10:56:53,KYO7282,KYO7282,KYO7C82,f,2017,2018,,194,0,9BD19713HJ3341609,1400,Alcool / Gasolina,Branca,2018-01-26 00:00:00,0,16701716000156,Juridica,RJ,Juridica,RJ,RJ,86900412,327A0113128763,RIO DE JANEIRO,,Nacional,154,KYO7282,KYO7282,KYO7C82,f,88,5,,"{'modelo': 'FIAT/SIENA ATTRACTIV 1.4', 'marca': 'FIAT', 'segmento': 'Auto', 'versao': '1.4'}",SEM RESTRICAO,SEM RESTRICAO,SEM RESTRICAO,SEM RESTRICAO,,,,,1400,,,apiveiculos.com.br,v3.0,API Atualizada em 08/12/2023 14:08:00,https://apiveiculos.com.br/static/logos/fiat.png,200,{'dados': []},{'dados': []}
,FIAT,FIAT/SIENA ATTRACTIV 1.4,FIAT/SIENA,1.4,2019,2020,*****HL3380949,0,0,Branca,01/08/2024 10:57:02,01/08/2024 10:57:02,01/08/2024 10:57:02,01/08/2024 10:57:02,QYB3433,QYB3433,QYB3E33,f,2019,2020,,194,0,9BD19713HL3380949,1400,Alcool / Gasolina,Branca,2019-09-26 00:00:00,0,16701716000156,Juridica,PE,Juridica,PE,PE,100856788,327A0113564439,RECIFE,,Nacional,154,QYB3433,QYB3433,QYB3E33,f,88,5,,"{'modelo': 'FIAT/SIENA ATTRACTIV 1.4', 'marca': 'FIAT', 'segmento': 'Auto', 'versao': '1.4'}",SEM RESTRICAO,SEM RESTRICAO,SEM RESTRICAO,SEM RESTRICAO,,,,,1400,,,apiveiculos.com.br,v3.0,API Atualizada em 08/12/2023 14:08:00,https://apiveiculos.com.br/static/logos/fiat.png,200,{'dados': []},{'dados': []}
,GM,CHEVROLET/COBALT 18M LTZ,CHEVROLET/COBALT,LTZ,2019,2020,*****0LB103749,0,0,Branca,01/08/2024 10:56:53,01/08/2024 10:56:53,01/08/2024 10:56:53,01/08/2024 10:56:53,BDO6B17,BDO6117,BDO6B17,t,2019,2020,2XBLRV0021,140,0,9BGJC6920LB103749,1800,Alcool / Gasolina,Branca,2019-11-05 00:00:00,0,59275792000150,Juridica,SP,Juridica,PR,PR,101418000,JWD006701,ARAUCARIA,,Nacional,140,BDO6B17,BDO6117,BDO6B17,t,111,5,,"{'modelo': 'CHEVROLET/COBALT 18M LTZ', 'marca': 'GM', 'segmento': 'Auto', 'versao': 'LTZ'}",SEM RESTRICAO,SEM RESTRICAO,SEM RESTRICAO,SEM RESTRICAO,,,,,1800,,,apiveiculos.com.br,v3.0,API Atualizada em 08/12/2023 14:08:00,https://apiveiculos.com.br/static/logos/gm.png,200,{'dados': []},{'dados': []}
,GM,CHEV/SPIN 1.8L AT LT,CHEV/SPIN,LT,2019,2020,*****0LB175933,0,0,Branca,01/08/2024 10:57:01,01/08/2024 10:57:01,01/08/2024 10:57:01,01/08/2024 10:57:01,EXJ4C09,EXJ4209,EXJ4C09,t,2019,2020,R9196B2578,170,0,9BGJB7520LB175933,1800,Alcool / Gasolina,Branca,2020-02-07 00:00:00,0,59275792000150,Juridica,SP,Juridica,SP,SP,102627751,JWH037940,SAO PAULO,,Nacional,170,EXJ4C09,EXJ4209,EXJ4C09,t,111,5,,"{'modelo': 'CHEV/SPIN 1.8L AT LT', 'marca': 'GM', 'segmento': 'Auto', 'versao': 'LT'}",SEM RESTRICAO,SEM RESTRICAO,SEM RESTRICAO,SEM RESTRICAO,,,,,1800,,,apiveiculos.com.br,v3.0,API Atualizada em 08/12/2023 14:08:00,https://apiveiculos.com.br/static/logos/gm.png,200,{'dados': []},{'dados': []}
,RENAULT,RENAULT/LOGAN AUTH 10,RENAULT/LOGAN,10,2019,2020,*****4LJ920095,0,0,Branca,01/08/2024 10:56:55,01/08/2024 10:56:55,01/08/2024 10:56:55,01/08/2024 10:56:55,QQQ7524,QQQ7524,QQQ7F24,f,2019,2020,,231,0,93Y4SRF84LJ920095,999,Alcool / Gasolina,Branca,2019-04-29 00:00:00,2,00913443000173,Juridica,PR,Juridica,MG,MG,99052613,B4DC401Q137032,BELO HORIZONTE,,Nacional,147,QQQ7524,QQQ7524,QQQ7F24,f,82,5,,"{'modelo': 'RENAULT/LOGAN AUTH 10', 'marca': 'RENAULT', 'segmento': 'Auto', 'versao': '10'}",SEM RESTRICAO,SEM RESTRICAO,SEM RESTRICAO,SEM RESTRICAO,,,,,999,,,apiveiculos.com.br,v3.0,API Atualizada em 08/12/2023 14:08:00,https://apiveiculos.com.br/static/logos/renault.png,200,{'dados': []},{'dados': []}
,GM,CHEV/PRISMA 10MT JOYE,CHEV/PRISMA,JOYE,2019,2019,*****0KG454951,0,0,Prata,01/08/2024 10:57:03,01/08/2024 10:57:03,01/08/2024 10:57:03,01/08/2024 10:57:03,QYE7701,QYE7701,QYE7H01,f,2019,2019,BLNV0182,140,0,9BGKL69U0KG454951,1000,Alcool / Gasolina,Prata,2019-12-05 00:00:00,0,40889222000121,Juridica,PE,Juridica,PE,PE,101946625,JTSSL3493,CABO DE SANTO AGOSTINHO,,Nacional,140,QYE7701,QYE7701,QYE7H01,f,80,5,,"{'modelo': 'CHEV/PRISMA 10MT JOYE', 'marca': 'GM', 'segmento': 'Auto', 'versao': 'JOYE'}",SEM RESTRICAO,SEM RESTRICAO,SEM RESTRICAO,SEM RESTRICAO,,,,,1000,,,apiveiculos.com.br,v3.0,API Atualizada em 08/12/2023 14:08:00,https://apiveiculos.com.br/static/logos/gm.png,200,{'dados': []},{'dados': []}
